time,id,username,text
2021-11-20 01:47:23+00:00,1461873777407455235,jack wolfskin,b'@DivHumas_Polri Data polisi yg bocor kalo disalahgunakan gmn?'
2021-11-19 23:48:53+00:00,1461843955683762176,iManru' (Patanna Tedong),b'Semoga pelakux bukan di singapura dan pakai IP filiphina dlm menjalankan aksix spy bs cepat tertangkap @DivHumas_Polri\n\xf0\x9f\x98\x85\xf0\x9f\x99\x8f\nhttps://t.co/CPIvcuOluc'
2021-11-19 22:53:22+00:00,1461829985979617283,Reza Andika,"b'@mzbabal Ku ngerasa lebih aman belanja di tokped karena selama ini beli game, elektronik disana. Ya emg pernah bocor tp resikonya juga sama aja bal. Kita ngasi data juga ke pihak orange dan kita ngga tahu posisi server. Dan ya satunya buatan indo sih wkwkwkw.'"
2021-11-19 22:19:17+00:00,1461821405939466241,Lukirakiraajadeeeeeeeeeeeeeh!!!,b'https://t.co/1gEDAGcQCD'
2021-11-19 17:10:41+00:00,1461743745452281858,ifan gunawan,"b'@rezaandikagd Iyakah bli? W pindah dr tokped ke shopee gara2 data tokped yg bocor dulu ituu. Padahal dulu dah nyaman bgt bisa pesen tiket kereta sama pesen hotel segala\nMana sekarang merge sama gopay pulak :"")'"
2021-11-19 16:20:05+00:00,1461731012526972932,Coltliq Ekajaya,b'ELSAM soal Data Polri Bocor: Tak Ada Investigasi Akuntabel https://t.co/xyBAgSb3rd https://t.co/oF9J99uiOI'
2021-11-19 15:46:32+00:00,1461722566524116999,Achsanul Qosasi,"b'@Reiza_Patters @tidaksambat Belum.\nTim sdg di Lapangan selama 60 hari. Ini Pemeriksaan besar dan butuh banyak sampling, agar hasilnya baik &amp; akurat.\n\nKita harus sabar sampai selesai, Tim ke BKN utk konfirmasi data ASN. Kemensos sebaiknya nunggu dan bantu, tapi jgn bocor dulu, krn belum final. \nTak elok.'"
2021-11-19 14:19:09+00:00,1461700576132022272,Pantau.com,b'ELSAM menilai dugaan atas kebocoran database Kepolisian memerlukan proses investigasi yang harus dilakukan secara tuntas dan akuntabel. https://t.co/w0JdOJkCdM'
2021-11-19 14:07:17+00:00,1461697591909834760,CNN Indonesia,b'ELSAM soal Data Polri Bocor: Tak Ada Investigasi Akuntabel https://t.co/EnN9MBvAjy'
2021-11-19 14:04:52+00:00,1461696981395546113,Hadeh Ngab,b'@DC6SEC @son1x666 @txtdrberseragam min ini data pelanggaran polisi pada bocor. jumlahnya banyak'
2021-11-19 13:49:01+00:00,1461692994491355136,v e l,b'buset dah itu data artis ampe bocor'
2021-11-19 12:15:17+00:00,1461669405939490824,️️ ️️,b'@DesyIcha4 @girlsteutics @panggilakuDWL Selama ini ada data bocor gak?'
2021-11-19 10:57:05+00:00,1461649726680428548,Kompas.com,"b'Kebocoran ini diketahui dari salah satu unggahan akun twitter @son1x777. Menurut klaim akun itu, ada 28.000 akun dan data pribadi Polri yang bocor. https://t.co/ogA9qV75z9'"
