text,clean,casefolding,tokenize,stopwords,stemming
"b'Data Polri bocor, jadi keinget episode Ticking Clocks di Brooklyn Nine-Nine. Bahaya kalau data anggota polisi yang masih bertugas jadi under-cover agent terungkap.\n\nPray for the best.\n\nSource:\nhttps://t.co/eaCeXt0NOr https://t.co/9MBFJptFmo'",Data Polri bocor jadi keinget episode Ticking Clocks di Brooklyn NineNine Bahaya kalau data anggota polisi yang masih bertugas jadi undercover agent terungkapnnPray for the bestnnSourcen ,data polri bocor jadi keinget episode ticking clocks di brooklyn ninenine bahaya kalau data anggota polisi yang masih bertugas jadi undercover agent terungkapnnpray for the bestnnsourcen ,"['data', 'polri', 'bocor', 'jadi', 'keinget', 'episode', 'ticking', 'clocks', 'di', 'brooklyn', 'ninenine', 'bahaya', 'kalau', 'data', 'anggota', 'polisi', 'yang', 'masih', 'bertugas', 'jadi', 'undercover', 'agent', 'terungkapnnpray', 'for', 'the', 'bestnnsourcen']","['data', 'polri', 'bocor', 'keinget', 'episode', 'ticking', 'clocks', 'brooklyn', 'ninenine', 'bahaya', 'data', 'anggota', 'polisi', 'bertugas', 'undercover', 'agent', 'terungkapnnpray', 'for', 'the', 'bestnnsourcen']",data polri bocor keinget episode ticking clocks brooklyn ninenine bahaya data anggota polisi tugas undercover agent terungkapnnpray for the bestnnsourcen
b'data di quora ngapa bocor ke twitter dah',data di quora ngapa bocor ke twitter dah,data di quora ngapa bocor ke twitter dah,"['data', 'di', 'quora', 'ngapa', 'bocor', 'ke', 'twitter', 'dah']","['data', 'quora', 'ngapa', 'bocor', 'twitter', 'dah']",data quora ngapa bocor twitter dah
"b'Peretas Brasil Son1x kembali beraksi dan meretas situs kepolisian Indonesia. Sebanyak 28 ribu data diduga milik Kepolisian Republik Indonesia bocor dan disebar gratis oleh salah satu warganet di Twitter, Kamis (18/11/2021).\n\nhttps://t.co/fJyluqB7DJ'",Peretas Brasilkembali beraksi dan meretas situs kepolisian Indonesia Sebanyakribu data diduga milik Kepolisian Republik Indonesia bocor dan disebar gratis oleh salah satu warganet di Twitter Kamis ,peretas brasilkembali beraksi dan meretas situs kepolisian indonesia sebanyakribu data diduga milik kepolisian republik indonesia bocor dan disebar gratis oleh salah satu warganet di twitter kamis ,"['peretas', 'brasilkembali', 'beraksi', 'dan', 'meretas', 'situs', 'kepolisian', 'indonesia', 'sebanyakribu', 'data', 'diduga', 'milik', 'kepolisian', 'republik', 'indonesia', 'bocor', 'dan', 'disebar', 'gratis', 'oleh', 'salah', 'satu', 'warganet', 'di', 'twitter', 'kamis']","['peretas', 'brasilkembali', 'beraksi', 'meretas', 'situs', 'kepolisian', 'indonesia', 'sebanyakribu', 'data', 'diduga', 'milik', 'kepolisian', 'republik', 'indonesia', 'bocor', 'disebar', 'gratis', 'salah', 'warganet', 'twitter', 'kamis']",retas brasilkembali aksi retas situs polisi indonesia sebanyakribu data duga milik polisi republik indonesia bocor sebar gratis salah warganet twitter kamis
"b'Database Polri Kena Hack, Semua Data Polisi Berkasus Bocor, Ada 3 Jenderal\nhttps://t.co/NVOOdsDvo8'",Database Polri Kena Hack Semua Data Polisi Berkasus Bocor AdaJenderaln,database polri kena hack semua data polisi berkasus bocor adajenderaln,"['database', 'polri', 'kena', 'hack', 'semua', 'data', 'polisi', 'berkasus', 'bocor', 'adajenderaln']","['database', 'polri', 'kena', 'hack', 'data', 'polisi', 'berkasus', 'bocor', 'adajenderaln']",database polri kena hack data polisi kasus bocor adajenderaln
b'Lembaga Riset Siber CISSReC: Berbahaya Ribuan Data Polri Bocor &amp; Dibagikan Gratis https://t.co/PCpzSVmPbq',Lembaga Riset Siber CISSReC Berbahaya Ribuan Data Polri Bocor amp Dibagikan Gratis ,lembaga riset siber cissrec berbahaya ribuan data polri bocor amp dibagikan gratis ,"['lembaga', 'riset', 'siber', 'cissrec', 'berbahaya', 'ribuan', 'data', 'polri', 'bocor', 'amp', 'dibagikan', 'gratis']","['lembaga', 'riset', 'siber', 'cissrec', 'berbahaya', 'ribuan', 'data', 'polri', 'bocor', 'amp', 'dibagikan', 'gratis']",lembaga riset siber cissrec bahaya ribu data polri bocor amp bagi gratis
b'@CNNIndonesia Apapun datanya yg bocor itu menunjukkan kelemahan pertahanan cyber data', Apapun datanya yg bocor itu menunjukkan kelemahan pertahanan cyber data, apapun datanya yg bocor itu menunjukkan kelemahan pertahanan cyber data,"['apapun', 'datanya', 'yg', 'bocor', 'itu', 'menunjukkan', 'kelemahan', 'pertahanan', 'cyber', 'data']","['apapun', 'datanya', 'yg', 'bocor', 'kelemahan', 'pertahanan', 'cyber', 'data']",apa data yg bocor lemah tahan cyber data
b'Data Polri Bocor Berisi Kasus Anggota yang Bermasalah? #uzoneID #lifestyle #viral https://t.co/bIfipXI8Di',Data Polri Bocor Berisi Kasus Anggota yang Bermasalah ,data polri bocor berisi kasus anggota yang bermasalah ,"['data', 'polri', 'bocor', 'berisi', 'kasus', 'anggota', 'yang', 'bermasalah']","['data', 'polri', 'bocor', 'berisi', 'anggota', 'bermasalah']",data polri bocor isi anggota masalah
b'Polri Usut Dugaan Data Pribadi Anggota Bocor di Forum Online https://t.co/1AR0CGoUj1',Polri Usut Dugaan Data Pribadi Anggota Bocor di Forum Online ,polri usut dugaan data pribadi anggota bocor di forum online ,"['polri', 'usut', 'dugaan', 'data', 'pribadi', 'anggota', 'bocor', 'di', 'forum', 'online']","['polri', 'usut', 'dugaan', 'data', 'pribadi', 'anggota', 'bocor', 'forum', 'online']",polri usut duga data pribadi anggota bocor forum online
b'https://t.co/TJAzKEkHtH',,,[],[],
"b'Pakar Keamanan Siber, Pratama Persadha, mengungkap data pribadi personil Polri diduga bocor di forum online. https://t.co/z0O1gXG9Gh'",Pakar Keamanan Siber Pratama Persadha mengungkap data pribadi personil Polri diduga bocor di forum online ,pakar keamanan siber pratama persadha mengungkap data pribadi personil polri diduga bocor di forum online ,"['pakar', 'keamanan', 'siber', 'pratama', 'persadha', 'mengungkap', 'data', 'pribadi', 'personil', 'polri', 'diduga', 'bocor', 'di', 'forum', 'online']","['pakar', 'keamanan', 'siber', 'pratama', 'persadha', 'mengungkap', 'data', 'pribadi', 'personil', 'polri', 'diduga', 'bocor', 'forum', 'online']",pakar aman siber pratama persadha ungkap data pribadi personil polri duga bocor forum online
